model,rig,regime,mic_group,n_frames,pit_mae
hf0_l2_r2_s0,DREGON,all,all,44176,2.879059
hf0_l2_r2_s0,DREGON,all,ch0,5522,3.221183
hf0_l2_r2_s0,DREGON,all,ch1-7,38654,2.830184
hf0_l2_r2_s0,DREGON,below-30,all,1232,10.393818
hf0_l2_r2_s0,DREGON,below-30,ch0,154,10.819591
hf0_l2_r2_s0,DREGON,below-30,ch1-7,1078,10.332993
hf0_l2_r2_s0,DREGON,cruise:all,all,32128,2.980613
hf0_l2_r2_s0,DREGON,cruise:all,ch0,4016,3.384626
hf0_l2_r2_s0,DREGON,cruise:all,ch1-7,28112,2.922897
hf0_l2_r2_s0,DREGON,cruise:in-grid,all,32128,2.980613
hf0_l2_r2_s0,DREGON,cruise:in-grid,ch0,4016,3.384626
hf0_l2_r2_s0,DREGON,cruise:in-grid,ch1-7,28112,2.922897
hf0_l2_r2_s0,DREGON,ground:all,all,6024,0.053070
hf0_l2_r2_s0,DREGON,ground:all,ch0,753,0.060004
hf0_l2_r2_s0,DREGON,ground:all,ch1-7,5271,0.052079
hf0_l2_r2_s0,DREGON,ground:below-30,all,192,1.153759
hf0_l2_r2_s0,DREGON,ground:below-30,ch0,24,1.438085
hf0_l2_r2_s0,DREGON,ground:below-30,ch1-7,168,1.113141
hf0_l2_r2_s0,DREGON,ground:zero-frames,all,5832,0.016833
hf0_l2_r2_s0,DREGON,ground:zero-frames,ch0,729,0.014635
hf0_l2_r2_s0,DREGON,ground:zero-frames,ch1-7,5103,0.017147
hf0_l2_r2_s0,DREGON,in-grid,all,36304,3.128710
hf0_l2_r2_s0,DREGON,in-grid,ch0,4538,3.549448
hf0_l2_r2_s0,DREGON,in-grid,ch1-7,31766,3.068605
hf0_l2_r2_s0,DREGON,ramp:all,all,6024,5.163426
hf0_l2_r2_s0,DREGON,ramp:all,ch0,753,5.510666
hf0_l2_r2_s0,DREGON,ramp:all,ch1-7,5271,5.113821
hf0_l2_r2_s0,DREGON,ramp:below-30,all,1040,12.099675
hf0_l2_r2_s0,DREGON,ramp:below-30,ch0,130,12.551561
hf0_l2_r2_s0,DREGON,ramp:below-30,ch1-7,910,12.035120
hf0_l2_r2_s0,DREGON,ramp:in-grid,all,4176,4.268095
hf0_l2_r2_s0,DREGON,ramp:in-grid,ch0,522,4.817502
hf0_l2_r2_s0,DREGON,ramp:in-grid,ch1-7,3654,4.189608
hf0_l2_r2_s0,DREGON,ramp:zero-frames,all,808,0.862940
hf0_l2_r2_s0,DREGON,ramp:zero-frames,ch0,101,0.030619
hf0_l2_r2_s0,DREGON,ramp:zero-frames,ch1-7,707,0.981843
hf0_l2_r2_s0,DREGON,zero-frames,all,6640,0.119793
hf0_l2_r2_s0,DREGON,zero-frames,ch0,830,0.016580
hf0_l2_r2_s0,DREGON,zero-frames,ch1-7,5810,0.134538
hf0_l2_r2_s0,FLY124,all,all,30120,1.815143
hf0_l2_r2_s0,FLY124,all,ch0,3765,1.802013
hf0_l2_r2_s0,FLY124,all,ch1-7,26355,1.817019
hf0_l2_r2_s0,FLY124,below-30,all,1496,12.425786
hf0_l2_r2_s0,FLY124,below-30,ch0,187,13.720146
hf0_l2_r2_s0,FLY124,below-30,ch1-7,1309,12.240878
hf0_l2_r2_s0,FLY124,cruise:all,all,20080,1.069799
hf0_l2_r2_s0,FLY124,cruise:all,ch0,2510,1.013268
hf0_l2_r2_s0,FLY124,cruise:all,ch1-7,17570,1.077875
hf0_l2_r2_s0,FLY124,cruise:in-grid,all,20080,1.069799
hf0_l2_r2_s0,FLY124,cruise:in-grid,ch0,2510,1.013268
hf0_l2_r2_s0,FLY124,cruise:in-grid,ch1-7,17570,1.077875
hf0_l2_r2_s0,FLY124,ground:all,all,2008,0.031056
hf0_l2_r2_s0,FLY124,ground:all,ch0,251,0.010697
hf0_l2_r2_s0,FLY124,ground:all,ch1-7,1757,0.033965
hf0_l2_r2_s0,FLY124,ground:zero-frames,all,2008,0.031056
hf0_l2_r2_s0,FLY124,ground:zero-frames,ch0,251,0.010697
hf0_l2_r2_s0,FLY124,ground:zero-frames,ch1-7,1757,0.033965
hf0_l2_r2_s0,FLY124,in-grid,all,25968,1.386474
hf0_l2_r2_s0,FLY124,in-grid,ch0,3246,1.298546
hf0_l2_r2_s0,FLY124,in-grid,ch1-7,22722,1.399035
hf0_l2_r2_s0,FLY124,ramp:all,all,8032,4.124524
hf0_l2_r2_s0,FLY124,ramp:all,ch0,1004,4.221703
hf0_l2_r2_s0,FLY124,ramp:all,ch1-7,7028,4.110641
hf0_l2_r2_s0,FLY124,ramp:below-30,all,1496,12.425786
hf0_l2_r2_s0,FLY124,ramp:below-30,ch0,187,13.720146
hf0_l2_r2_s0,FLY124,ramp:below-30,ch1-7,1309,12.240878
hf0_l2_r2_s0,FLY124,ramp:in-grid,all,5888,2.466437
hf0_l2_r2_s0,FLY124,ramp:in-grid,ch0,736,2.271436
hf0_l2_r2_s0,FLY124,ramp:in-grid,ch1-7,5152,2.494295
hf0_l2_r2_s0,FLY124,ramp:zero-frames,all,648,0.025949
hf0_l2_r2_s0,FLY124,ramp:zero-frames,ch0,81,0.014150
hf0_l2_r2_s0,FLY124,ramp:zero-frames,ch1-7,567,0.027635
hf0_l2_r2_s0,FLY124,zero-frames,all,2656,0.029810
hf0_l2_r2_s0,FLY124,zero-frames,ch0,332,0.011540
hf0_l2_r2_s0,FLY124,zero-frames,ch1-7,2324,0.032421
hf0_l2_r2_s0,all,all,all,74296,2.447742
hf0_l2_r2_s0,all,all,ch0,9287,2.645844
hf0_l2_r2_s0,all,all,ch1-7,65009,2.419441
hf0_l2_r2_s0,all,below-30,all,2728,11.508123
hf0_l2_r2_s0,all,below-30,ch0,341,12.410218
hf0_l2_r2_s0,all,below-30,ch1-7,2387,11.379253
hf0_l2_r2_s0,all,cruise:all,all,52208,2.245685
hf0_l2_r2_s0,all,cruise:all,ch0,6526,2.472566
hf0_l2_r2_s0,all,cruise:all,ch1-7,45682,2.213273
hf0_l2_r2_s0,all,cruise:in-grid,all,52208,2.245685
hf0_l2_r2_s0,all,cruise:in-grid,ch0,6526,2.472566
hf0_l2_r2_s0,all,cruise:in-grid,ch1-7,45682,2.213273
hf0_l2_r2_s0,all,ground:all,all,8032,0.047566
hf0_l2_r2_s0,all,ground:all,ch0,1004,0.047677
hf0_l2_r2_s0,all,ground:all,ch1-7,7028,0.047550
hf0_l2_r2_s0,all,ground:below-30,all,192,1.153759
hf0_l2_r2_s0,all,ground:below-30,ch0,24,1.438085
hf0_l2_r2_s0,all,ground:below-30,ch1-7,168,1.113141
hf0_l2_r2_s0,all,ground:zero-frames,all,7840,0.020476
hf0_l2_r2_s0,all,ground:zero-frames,ch0,980,0.013626
hf0_l2_r2_s0,all,ground:zero-frames,ch1-7,6860,0.021454
hf0_l2_r2_s0,all,in-grid,all,62272,2.402182
hf0_l2_r2_s0,all,in-grid,ch0,7784,2.610801
hf0_l2_r2_s0,all,in-grid,ch1-7,54488,2.372379
hf0_l2_r2_s0,all,ramp:all,all,14056,4.569768
hf0_l2_r2_s0,all,ramp:all,ch0,1757,4.774116
hf0_l2_r2_s0,all,ramp:all,ch1-7,12299,4.540575
hf0_l2_r2_s0,all,ramp:below-30,all,2536,12.292050
hf0_l2_r2_s0,all,ramp:below-30,ch0,317,13.240915
hf0_l2_r2_s0,all,ramp:below-30,ch1-7,2219,12.156498
hf0_l2_r2_s0,all,ramp:in-grid,all,10064,3.214025
hf0_l2_r2_s0,all,ramp:in-grid,ch0,1258,3.327912
hf0_l2_r2_s0,all,ramp:in-grid,ch1-7,8806,3.197755
hf0_l2_r2_s0,all,ramp:zero-frames,all,1456,0.490433
hf0_l2_r2_s0,all,ramp:zero-frames,ch0,182,0.023289
hf0_l2_r2_s0,all,ramp:zero-frames,ch1-7,1274,0.557168
hf0_l2_r2_s0,all,zero-frames,all,9296,0.094084
hf0_l2_r2_s0,all,zero-frames,ch0,1162,0.015140
hf0_l2_r2_s0,all,zero-frames,ch1-7,8134,0.105361
