model,rig,regime,mic_group,n_frames,pit_mae
hppnet_l2_r2_s0,FLY124,zero-frames,ch1-7,2324,0.144691
hppnet_l2_r2_s0,all,all,all,74296,2.265799
hppnet_l2_r2_s0,all,all,ch0,9287,2.358027
hppnet_l2_r2_s0,all,all,ch1-7,65009,2.252623
hppnet_l2_r2_s0,all,below-30,all,2728,14.636021
hppnet_l2_r2_s0,all,below-30,ch0,341,15.743145
hppnet_l2_r2_s0,all,below-30,ch1-7,2387,14.477861
hppnet_l2_r2_s0,all,cruise:all,all,52208,1.569855
hppnet_l2_r2_s0,all,cruise:all,ch0,6526,1.604831
hppnet_l2_r2_s0,all,cruise:all,ch1-7,45682,1.564858
hppnet_l2_r2_s0,all,cruise:in-grid,all,52208,1.569855
hppnet_l2_r2_s0,all,cruise:in-grid,ch0,6526,1.604831
hppnet_l2_r2_s0,all,cruise:in-grid,ch1-7,45682,1.564858
hppnet_l2_r2_s0,all,ground:all,all,8032,0.384488
hppnet_l2_r2_s0,all,ground:all,ch0,1004,0.076401
hppnet_l2_r2_s0,all,ground:all,ch1-7,7028,0.428501
hppnet_l2_r2_s0,all,ground:below-30,all,192,4.707727
hppnet_l2_r2_s0,all,ground:below-30,ch0,24,1.188668
hppnet_l2_r2_s0,all,ground:below-30,ch1-7,168,5.210449
hppnet_l2_r2_s0,all,ground:zero-frames,all,7840,0.278613
hppnet_l2_r2_s0,all,ground:zero-frames,ch0,980,0.049162
hppnet_l2_r2_s0,all,ground:zero-frames,ch1-7,6860,0.311392
hppnet_l2_r2_s0,all,in-grid,all,62272,1.902376
hppnet_l2_r2_s0,all,in-grid,ch0,7784,1.894513
hppnet_l2_r2_s0,all,in-grid,ch1-7,54488,1.903500
hppnet_l2_r2_s0,all,ramp:all,all,14056,5.925768
hppnet_l2_r2_s0,all,ramp:all,ch0,1757,6.459399
hppnet_l2_r2_s0,all,ramp:all,ch1-7,12299,5.849535
hppnet_l2_r2_s0,all,ramp:below-30,all,2536,15.387690
hppnet_l2_r2_s0,all,ramp:below-30,ch0,317,16.845061
hppnet_l2_r2_s0,all,ramp:below-30,ch1-7,2219,15.179494
hppnet_l2_r2_s0,all,ramp:in-grid,all,10064,3.627365
hppnet_l2_r2_s0,all,ramp:in-grid,ch0,1258,3.397267
hppnet_l2_r2_s0,all,ramp:in-grid,ch1-7,8806,3.660236
hppnet_l2_r2_s0,all,ramp:zero-frames,all,1456,5.332146
hppnet_l2_r2_s0,all,ramp:zero-frames,ch0,182,9.535816
hppnet_l2_r2_s0,all,ramp:zero-frames,ch1-7,1274,4.731621
hppnet_l2_r2_s0,all,zero-frames,all,9296,1.070130
hppnet_l2_r2_s0,all,zero-frames,ch0,1162,1.535024
hppnet_l2_r2_s0,all,zero-frames,ch1-7,8134,1.003717
hppnet_l2_r2refined_s0,DREGON,all,all,44176,2.906081
hppnet_l2_r2refined_s0,DREGON,all,ch0,5522,2.827731
hppnet_l2_r2refined_s0,DREGON,all,ch1-7,38654,2.917274
hppnet_l2_r2refined_s0,DREGON,below-30,all,1232,11.108467
hppnet_l2_r2refined_s0,DREGON,below-30,ch0,154,11.267396
hppnet_l2_r2refined_s0,DREGON,below-30,ch1-7,1078,11.085763
hppnet_l2_r2refined_s0,DREGON,cruise:all,all,32128,2.568433
hppnet_l2_r2refined_s0,DREGON,cruise:all,ch0,4016,2.461834
hppnet_l2_r2refined_s0,DREGON,cruise:all,ch1-7,28112,2.583662
hppnet_l2_r2refined_s0,DREGON,cruise:in-grid,all,32128,2.568433
hppnet_l2_r2refined_s0,DREGON,cruise:in-grid,ch0,4016,2.461834
hppnet_l2_r2refined_s0,DREGON,cruise:in-grid,ch1-7,28112,2.583662
hppnet_l2_r2refined_s0,DREGON,ground:all,all,6024,0.141251
hppnet_l2_r2refined_s0,DREGON,ground:all,ch0,753,0.136425
hppnet_l2_r2refined_s0,DREGON,ground:all,ch1-7,5271,0.141941
hppnet_l2_r2refined_s0,DREGON,ground:below-30,all,192,1.191798
hppnet_l2_r2refined_s0,DREGON,ground:below-30,ch0,24,1.204274
hppnet_l2_r2refined_s0,DREGON,ground:below-30,ch1-7,168,1.190015
hppnet_l2_r2refined_s0,DREGON,ground:zero-frames,all,5832,0.106666
hppnet_l2_r2refined_s0,DREGON,ground:zero-frames,ch0,729,0.101269
hppnet_l2_r2refined_s0,DREGON,ground:zero-frames,ch1-7,5103,0.107436
hppnet_l2_r2refined_s0,DREGON,in-grid,all,36304,3.125477
hppnet_l2_r2refined_s0,DREGON,in-grid,ch0,4538,3.035283
hppnet_l2_r2refined_s0,DREGON,in-grid,ch1-7,31766,3.138362
hppnet_l2_r2refined_s0,DREGON,ramp:all,all,6024,7.471701
hppnet_l2_r2refined_s0,DREGON,ramp:all,ch0,753,7.470485
hppnet_l2_r2refined_s0,DREGON,ramp:all,ch1-7,5271,7.471875
hppnet_l2_r2refined_s0,DREGON,ramp:below-30,all,1040,12.939236
hppnet_l2_r2refined_s0,DREGON,ramp:below-30,ch0,130,13.125203
hppnet_l2_r2refined_s0,DREGON,ramp:below-30,ch1-7,910,12.912670
hppnet_l2_r2refined_s0,DREGON,ramp:in-grid,all,4176,7.411088
hppnet_l2_r2refined_s0,DREGON,ramp:in-grid,ch0,522,7.447105
hppnet_l2_r2refined_s0,DREGON,ramp:in-grid,ch1-7,3654,7.405943
hppnet_l2_r2refined_s0,DREGON,ramp:zero-frames,all,808,0.747546
hppnet_l2_r2refined_s0,DREGON,ramp:zero-frames,ch0,101,0.312971
hppnet_l2_r2refined_s0,DREGON,ramp:zero-frames,ch1-7,707,0.809628
