model,rig,regime,mic_group,n_frames,pit_mae
hf0_l3_r2_s0,all,all,ch0,9287,16.831714
hf0_l3_r2_s0,all,all,ch1-7,65009,10.786069
hf0_l3_r2_s0,all,below-30,all,2728,24.596571
hf0_l3_r2_s0,all,below-30,ch0,341,22.192446
hf0_l3_r2_s0,all,below-30,ch1-7,2387,24.940017
hf0_l3_r2_s0,all,cruise:all,all,52208,9.311320
hf0_l3_r2_s0,all,cruise:all,ch0,6526,16.833833
hf0_l3_r2_s0,all,cruise:all,ch1-7,45682,8.236675
hf0_l3_r2_s0,all,cruise:in-grid,all,52208,9.311320
hf0_l3_r2_s0,all,cruise:in-grid,ch0,6526,16.833833
hf0_l3_r2_s0,all,cruise:in-grid,ch1-7,45682,8.236675
hf0_l3_r2_s0,all,ground:all,all,8032,6.293664
hf0_l3_r2_s0,all,ground:all,ch0,1004,3.908727
hf0_l3_r2_s0,all,ground:all,ch1-7,7028,6.634369
hf0_l3_r2_s0,all,ground:below-30,all,192,21.156103
hf0_l3_r2_s0,all,ground:below-30,ch0,24,8.948554
hf0_l3_r2_s0,all,ground:below-30,ch1-7,168,22.900038
hf0_l3_r2_s0,all,ground:zero-frames,all,7840,5.929686
hf0_l3_r2_s0,all,ground:zero-frames,ch0,980,3.785303
hf0_l3_r2_s0,all,ground:zero-frames,ch1-7,6860,6.236026
hf0_l3_r2_s0,all,in-grid,all,62272,11.852829
hf0_l3_r2_s0,all,in-grid,ch0,7784,18.493953
hf0_l3_r2_s0,all,in-grid,ch1-7,54488,10.904097
hf0_l3_r2_s0,all,ramp:all,all,14056,22.825243
hf0_l3_r2_s0,all,ramp:all,ch0,1757,24.208411
hf0_l3_r2_s0,all,ramp:all,ch1-7,12299,22.627648
hf0_l3_r2_s0,all,ramp:below-30,all,2536,24.857048
hf0_l3_r2_s0,all,ramp:below-30,ch0,317,23.195138
hf0_l3_r2_s0,all,ramp:below-30,ch1-7,2219,25.094464
hf0_l3_r2_s0,all,ramp:in-grid,all,10064,25.037162
hf0_l3_r2_s0,all,ramp:in-grid,ch0,1258,27.105990
hf0_l3_r2_s0,all,ramp:in-grid,ch1-7,8806,24.741615
hf0_l3_r2_s0,all,ramp:zero-frames,all,1456,3.997356
hf0_l3_r2_s0,all,ramp:zero-frames,ch0,182,5.944962
hf0_l3_r2_s0,all,ramp:zero-frames,ch1-7,1274,3.719126
hf0_l3_r2_s0,all,zero-frames,all,9296,5.627031
hf0_l3_r2_s0,all,zero-frames,ch0,1162,4.123563
hf0_l3_r2_s0,all,zero-frames,ch1-7,8134,5.841813
