model,rig,regime,mic_group,n_frames,pit_mae
hppnet_l3_r2_s0,FLY124,zero-frames,ch1-7,2324,2.595644
hppnet_l3_r2_s0,all,all,all,74296,4.303974
hppnet_l3_r2_s0,all,all,ch0,9287,4.842411
hppnet_l3_r2_s0,all,all,ch1-7,65009,4.227055
hppnet_l3_r2_s0,all,below-30,all,2728,28.288632
hppnet_l3_r2_s0,all,below-30,ch0,341,30.801100
hppnet_l3_r2_s0,all,below-30,ch1-7,2387,27.929708
hppnet_l3_r2_s0,all,cruise:all,all,52208,2.252804
hppnet_l3_r2_s0,all,cruise:all,ch0,6526,2.397648
hppnet_l3_r2_s0,all,cruise:all,ch1-7,45682,2.232112
hppnet_l3_r2_s0,all,cruise:in-grid,all,52208,2.252804
hppnet_l3_r2_s0,all,cruise:in-grid,ch0,6526,2.397648
hppnet_l3_r2_s0,all,cruise:in-grid,ch1-7,45682,2.232112
hppnet_l3_r2_s0,all,ground:all,all,8032,0.833502
hppnet_l3_r2_s0,all,ground:all,ch0,1004,0.119526
hppnet_l3_r2_s0,all,ground:all,ch1-7,7028,0.935498
hppnet_l3_r2_s0,all,ground:below-30,all,192,0.905948
hppnet_l3_r2_s0,all,ground:below-30,ch0,24,0.432746
hppnet_l3_r2_s0,all,ground:below-30,ch1-7,168,0.973549
hppnet_l3_r2_s0,all,ground:zero-frames,all,7840,0.831727
hppnet_l3_r2_s0,all,ground:zero-frames,ch0,980,0.111856
hppnet_l3_r2_s0,all,ground:zero-frames,ch1-7,6860,0.934566
hppnet_l3_r2_s0,all,in-grid,all,62272,3.127590
hppnet_l3_r2_s0,all,in-grid,ch0,7784,3.648985
hppnet_l3_r2_s0,all,in-grid,ch1-7,54488,3.053105
hppnet_l3_r2_s0,all,ramp:all,all,14056,13.905735
hppnet_l3_r2_s0,all,ramp:all,ch0,1757,16.621753
hppnet_l3_r2_s0,all,ramp:all,ch1-7,12299,13.517733
hppnet_l3_r2_s0,all,ramp:below-30,all,2536,30.361769
hppnet_l3_r2_s0,all,ramp:below-30,ch0,317,33.100282
hppnet_l3_r2_s0,all,ramp:below-30,ch1-7,2219,29.970553
hppnet_l3_r2_s0,all,ramp:in-grid,all,10064,7.665629
hppnet_l3_r2_s0,all,ramp:in-grid,ch0,1258,10.140419
hppnet_l3_r2_s0,all,ramp:in-grid,ch1-7,8806,7.312088
hppnet_l3_r2_s0,all,ramp:zero-frames,all,1456,28.375467
hppnet_l3_r2_s0,all,ramp:zero-frames,ch0,182,32.719691
hppnet_l3_r2_s0,all,ramp:zero-frames,ch1-7,1274,27.754863
hppnet_l3_r2_s0,all,zero-frames,all,9296,5.145807
hppnet_l3_r2_s0,all,zero-frames,ch0,1162,5.219107
hppnet_l3_r2_s0,all,zero-frames,ch1-7,8134,5.135336
